['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'NewRecovered', 'ActiveCases']
['World', '107,861,936', '+25,560', '2,365,119', '+1,660', '80,027,727', '+37,283', '25,469,090', '101,449']
['Caribbean Netherlands', '360', '', '3 ', '', '244']
['Antigua and Barbuda', '350', '', '9 ', '', '190']
['Brunei ', '182', '', '3 ', '', '175']
['Grenada', '148', '', '1 ', '', '146']
['Dominica', '121', '', ' ', '', '110']
['British Virgin Islands', '114', '', '1 ', '', '95']
['Timor-Leste', '86', '', ' ', '', '61']
['Fiji', '56', '', '2 ', '', '54']
['Falkland Islands', '53', '', ' ', '', '38']
['New Caledonia', '50', '', ' ', '', '48']
['Macao', '48', '', ' ', '', '46']
['Laos', '45', '', ' ', '', '41']
['Saint Kitts and Nevis', '40', '', ' ', '', '38']
['Greenland', '30', '', ' ', '', '30']
['Vatican City', '27', '', ' ', '', '15']
['Saint Pierre Miquelon', '24', '', ' ', '', '16']
['Montserrat', '18', '', '1 ', '', '13']
['Anguilla', '18', '', ' ', '', '16']
['Solomon Islands', '18', '', ' ', '', '14']
['Western Sahara', '10', '', '1 ', '', '8']
['MS Zaandam', '9', '', '2 ', '', '7']
['Wallis and Futuna', '9', '', ' ', '', '4']
['Marshall Islands', '4', '', ' ', '', '4']
['Samoa', '2', '', ' ', '', '2']
['Micronesia', '1', '', ' ', '', '1']
['Vanuatu', '1', '', ' ', '', '1']
['China', '89,736', '+2', '4,636 ', '', '84,221']
